experiment_dir,num,hosts,switches,seed,k,down_interval,down_duration,down_count,down_stagger,down_exclude,cache_count,get_interval,filename,host_id,content_id,file_seed,down_hosts,get_idx,phase,cycle,timestamp,uri,rx_frames_all,rx_frames_content,rx_bytes_all,rx_bytes_content,duration_sec,throughput_bps,goodput_bps,jitter_ave_us,jitter_max_us,jitter_var_us,success
ex10_seed42,10,15,100,42,2,10,40,5,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phaseeval_cycle0_idx2_h12.log",12,,42,"0,1,2,3,4,5,6,10,11,12,13,14",2,eval,0,,ccnx:/video/stream/content3,0,0,,,,,,,,,False
ex10_seed42,10,15,100,42,2,10,40,5,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx2_h2.log",2,,42,"0,1,2,3,4,5,6,10,11,12,13,14",2,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex10_seed42,10,15,100,42,2,10,40,5,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx6_h3.log",3,,42,"0,1,2,3,4,5,6,10,11,12,13,14",6,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex10_seed42,10,15,100,42,2,10,40,5,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,11,12,13,14_phaseeval_cycle0_idx6_h9.log",9,,42,"0,1,2,3,4,5,6,11,12,13,14",6,eval,0,,ccnx:/test/data/content2,847,847,463882,433390,0.13,28823288,26928669,152,3527,15482,True
ex10_seed42,10,15,100,42,2,10,40,5,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx1_h0.log",0,,42,"0,1,2,4,5,6,10,11,12,13,14",1,warmup,0,,ccnx:/emergency/alert/content2,0,0,,,,,,,,,False
ex10_seed42,10,15,100,42,2,10,40,5,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,4,5,6,10,11,13,14_phaseeval_cycle0_idx1_h9.log",9,,42,"0,1,2,4,5,6,10,11,13,14",1,eval,0,,ccnx:/video/stream/content2,581,581,617433,594774,0.228,21750459,20952245,390,52415,5042727,True
ex10_seed42,10,15,100,42,2,10,40,5,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,4,5,6,10,11,13,14_phaseeval_cycle0_idx4_h3.log",3,,42,"0,1,2,4,5,6,10,11,13,14",4,eval,0,,ccnx:/test/data/content1,0,0,,,,,,,,,False
ex10_seed42,10,15,100,42,2,10,40,5,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,4,5,6,10,11,13,14_phasewarmup_cycle0_idx0_h0.log",0,,42,"0,1,2,4,5,6,10,11,13,14",0,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex10_seed42,10,15,100,42,2,10,40,5,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,4,5,6,10,11,13,14_phasewarmup_cycle0_idx5_h1.log",1,,42,"0,1,2,4,5,6,10,11,13,14",5,warmup,0,,ccnx:/emergency/alert/content2,0,0,,,,,,,,,False
ex10_seed42,10,15,100,42,2,10,40,5,1,,0,10,"cefgetfile_seed42_downhosts0,1,3,4,5,6,10,11,12,13_phasewarmup_cycle0_idx8_h4.log",4,,42,"0,1,3,4,5,6,10,11,12,13",8,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
