[cefgetfile] Start
[cefgetfile] Parsing parameters ...OK
2026-02-10 17:05:11.506 [cefgetfile] INFO: [client] Config directory is ./h6
2026-02-10 17:05:11.506 [cefgetfile] INFO: [client] Local Socket Name is /tmp/cef_9695.6
2026-02-10 17:05:11.506 [cefgetfile] INFO: [client] Listen Port is 9695
[cefgetfile] Init Cefore Client package ... OK
[cefgetfile] Conversion from URI into Name ... OK
[cefgetfile] Checking the output file ... OK
[cefgetfile] Connect to cefnetd ... OK
[cefgetfile] URI=ccnx:/video/stream/content2
[cefgetfile] Start sending Interests
2026-02-10 17:05:11.764 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.779 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.794 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.799 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.806 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.821 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.821 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.847 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.858 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.860 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.882 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.891 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.906 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.913 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.919 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.926 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.937 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.938 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.942 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.943 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.945 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.946 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.948 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.950 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.950 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.951 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:05:11.953 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
